datasize,ex_time[s],date,n_tress,min_samples_split,max_depth,n_feats
100,24.732812881469727,04/10/2022 00:11:05,100,3,3,10
100,24.659024238586426,04/10/2022 00:11:29,100,3,3,10
100,25.987424850463867,04/10/2022 00:11:54,100,3,3,10
100,24.360900163650513,04/10/2022 00:12:20,100,3,3,10
100,24.646585941314697,04/10/2022 00:12:44,100,3,3,10
100,24.506848096847534,04/10/2022 00:13:09,100,3,3,10
100,24.569672107696533,04/10/2022 00:13:34,100,3,3,10
200,92.70459008216858,04/10/2022 00:14:59,100,3,3,10
200,92.86079096794128,04/10/2022 00:16:32,100,3,3,10
200,94.46618008613586,04/10/2022 00:18:05,100,3,3,10
200,96.08345103263855,04/10/2022 00:19:39,100,3,3,10
200,96.4628279209137,04/10/2022 00:21:15,100,3,3,10
200,97.67487907409668,04/10/2022 00:22:52,100,3,3,10
200,95.46177673339844,04/10/2022 00:24:30,100,3,3,10
200,97.59852600097656,04/10/2022 00:26:05,100,3,3,10
200,96.77899980545044,04/10/2022 00:27:43,100,3,3,10
200,96.04909610748291,04/10/2022 00:29:19,100,3,3,10
100,7.369574069976807,04/10/2022 10:49:16,1,3,50,10
100,6.301476955413818,04/10/2022 11:51:38,1,3,50,10
100,5.865811109542847,04/10/2022 11:52:02,1,3,50,10
100,7.139925003051758,04/10/2022 11:54:13,1,3,50,10
100,4.673720121383667,04/10/2022 11:55:10,1,3,50,10
